PERMNO,TICKER,Market Cap,Beta,PE Ratio,Forward Dividend 
10104,ORCL,169.453,0.85,17.93,0.96
10107,MSFT,1572,0.9,36.07,2.04
10138,TROW,31.528,1.18,16.48,3.6
10145,HON,110.868,1.05,19.41,3.6
10696,FISV,66.737,0.81,79.25,NA
11308,KO,205.816,0.55,22.6,1.64
11403,CDNS,29.8,1.12,29.4,NA
11404,ED,25.509,0.21,19.1,3.06
11552,CELG,77.036,1.21,13.31,NA
11600,XRAY,9.867,1.03,-206.48,0.4
11618,FAST,27.5,1.19,32.99,1
11674,DTE,23.259,0.62,19.07,4.05
11762,ETN,39.742,1.15,26.59,2.92
11786,SIVB,12.515,2.21,14.08,NA
11850,XOM,187.209,1.3,26.37,3.48
11891,MGM,10.699,2.12,5.59,0.01
11896,MXIM,18.38,1.34,28.6,1.92
11955,WM,47.075,0.73,29.46,2.18
12052,GD,44.701,1,13.83,4.4
12060,GE,58.034,0.9,-13.12,0.04
12062,LH,18.564,1.41,51.39,NA
12073,PBCT,4.861,1.2,10.22,0.72
12308,CHTR,123.019,1.05,57.43,NA
12345,LYB,23.108,1.54,11.44,4.2
12369,GM,39.813,1.39,26.29,NA
12431,IR,14.462,1.48,-118.7,NA
12449,FLT,19.666,1.47,27.2,NA
12490,IBM,112.578,1.21,14.35,6.52
12542,NLSN,5.754,1.19,-8.96,0.24
12558,KMI,32.912,0.97,204.79,1.05
12622,HCA,44.779,1.41,13.67,NA
12623,HII,6.848,1.04,13.1,4.12
12650,KSU,17.407,0.96,31.52,1.6
12872,MPC,24.16,2.19,-3.21,2.32
12981,FBHS,11.193,1.72,26.14,0.96
13035,XYL,14.217,1.07,56.79,1.04
13103,APTV,23.341,2.22,13.23,NA
13142,KORS,56.33,0.32,9.62,NA
13168,TRIP,2.846,1.33,-30.03,NA
13356,PSX,28.329,1.52,12.75,3.6
13407,FB,749.24,1.21,32.16,NA
13586,PNR,7.388,1.36,22.51,0.76
13641,FANG,7.05,2.17,8.89,1.5
13688,PCG,18.132,1.1,7.54,NA
13721,ABBV,163.035,0.79,20.42,4.72
13760,NCLH,4.177,2.61,-1.79,NA
